corr,date,id
-0.178550952,12/28/16,836
-0.177220353,12/29/16,837
-0.165235141,12/30/16,838
-0.157091185,1/3/17,839
-0.094335229,1/4/17,840
-0.064893802,1/5/17,841
-0.076679597,1/6/17,842
-0.07544191,1/9/17,843
-0.076950084,1/10/17,844
-0.086066645,1/11/17,845
-0.090814662,1/12/17,846
-0.0895886,1/13/17,847
-0.101074586,1/17/17,848
-0.100662097,1/18/17,849
-0.126184591,1/19/17,850
-0.109536658,1/20/17,851
-0.121232625,1/23/17,852
-0.1322559,1/24/17,853
-0.125053625,1/25/17,854
-0.127858028,1/26/17,855
-0.127649088,1/27/17,856
-0.125301476,1/30/17,857
-0.116896218,1/31/17,858
-0.115512042,2/1/17,859
-0.114018966,2/2/17,860
-0.107891976,2/3/17,861
-0.105903174,2/6/17,862
-0.104370691,2/7/17,863
-0.109380885,2/8/17,864
-0.131160087,2/9/17,865
-0.133477822,2/10/17,866
-0.137689557,2/13/17,867
-0.1356533,2/14/17,868
-0.135797227,2/15/17,869
-0.137364109,2/16/17,870
-0.136552335,2/17/17,871
-0.106166638,2/21/17,872
-0.10559177,2/22/17,873
-0.108464268,2/23/17,874
-0.108496567,2/24/17,875
-0.11118462,2/27/17,876
-0.10740615,2/28/17,877
-0.078757245,3/1/17,878
-0.086285738,3/2/17,879
-0.087083199,3/3/17,880
-0.090716385,3/6/17,881
-0.078571959,3/7/17,882
-0.058507365,3/8/17,883
-0.056685014,3/9/17,884
-0.065141051,3/10/17,885
-0.066843835,3/13/17,886
-0.051239651,3/14/17,887
-0.04547015,3/15/17,888
-0.063885846,3/16/17,889
-0.045855062,3/17/17,890
-0.035094229,3/20/17,891
-0.082405085,3/21/17,892
-0.097059653,3/22/17,893
-0.09440372,3/23/17,894
-0.080211182,3/24/17,895
-0.090515853,3/27/17,896
-0.093678486,3/28/17,897
-0.088308219,3/29/17,898
-0.08884605,3/30/17,899
-0.093787825,3/31/17,900
-0.095090529,4/3/17,901
-0.095996329,4/4/17,902
-0.093026549,4/5/17,903
-0.088982726,4/6/17,904
-0.093401128,4/7/17,905
-0.093266064,4/10/17,906
-0.092953222,4/11/17,907
-0.08803781,4/12/17,908
-0.072691254,4/13/17,909
-0.05498717,4/17/17,910
-0.057580773,4/18/17,911
-0.060295349,4/19/17,912
-0.054612604,4/20/17,913
-0.052258556,4/21/17,914
-0.039042657,4/24/17,915
-0.03527728,4/25/17,916
-0.038309874,4/26/17,917
-0.036722164,4/27/17,918
-0.035294247,4/28/17,919
-0.030420618,5/1/17,920
-0.030746906,5/2/17,921
-0.026693457,5/3/17,922
-0.022380637,5/4/17,923
-0.023407197,5/5/17,924
-0.028340882,5/8/17,925
-0.009181886,5/9/17,926
-0.009352415,5/10/17,927
-0.020312196,5/11/17,928
-0.017900559,5/12/17,929
-0.04796367,5/15/17,930
-0.062445151,5/16/17,931
-0.095979007,5/17/17,932
-0.093915611,5/18/17,933
-0.076156433,5/19/17,934
-0.0337343,5/22/17,935
-0.025070824,5/23/17,936
-0.021052326,5/24/17,937
-0.019957142,5/25/17,938
-0.016181266,5/26/17,939
-0.009397827,5/30/17,940
-0.009915029,5/31/17,941
0.011971852,6/1/17,942
0.031444464,6/2/17,943
0.02409807,6/5/17,944
0.013301855,6/6/17,945
0.008934156,6/7/17,946
0.004078018,6/8/17,947
0.008771873,6/9/17,948
0.016206002,6/12/17,949
0.018799193,6/13/17,950
0.024713774,6/14/17,951
0.029000828,6/15/17,952
0.029056933,6/16/17,953
0.036966578,6/19/17,954
0.042752917,6/20/17,955
0.047278382,6/21/17,956
0.05024738,6/22/17,957
0.049946372,6/23/17,958
0.051054154,6/26/17,959
0.0410575,6/27/17,960
0.039325765,6/28/17,961
0.042999399,6/29/17,962
0.040131538,6/30/17,963
0.042637929,7/3/17,964
0.042267522,7/5/17,965
0.04448212,7/6/17,966
0.028527209,7/7/17,967
0.006321254,7/10/17,968
0.013011974,7/11/17,969
0.020069275,7/12/17,970
0.016431853,7/13/17,971
-0.006104165,7/14/17,972
-0.016290159,7/17/17,973
-0.016502435,7/18/17,974
-0.013127386,7/19/17,975
-0.017990837,7/20/17,976
-0.015568465,7/21/17,977
-0.017436541,7/24/17,978
-0.033098081,7/25/17,979
-0.041197798,7/26/17,980
-0.051395735,7/27/17,981
-0.021767693,7/28/17,982
-0.017480193,7/31/17,983
-0.025992464,8/1/17,984
-0.036108348,8/2/17,985
-0.031409301,8/3/17,986
-0.026470916,8/4/17,987
-0.015817236,8/7/17,988
-0.012217022,8/8/17,989
-0.005793308,8/9/17,990
0.000672227,8/10/17,991
0.003920834,8/11/17,992
0.072061428,8/14/17,993
0.071767997,8/15/17,994
0.071865337,8/16/17,995
0.085089418,8/17/17,996
0.089885628,8/18/17,997
0.084734317,8/21/17,998
0.076089211,8/22/17,999
0.073952453,8/23/17,1000
0.070710264,8/24/17,1001
0.069032976,8/25/17,1002
0.069296758,8/28/17,1003
0.06685194,8/29/17,1004
0.060795293,8/30/17,1005
0.065244618,8/31/17,1006
0.066898652,9/1/17,1007
0.059109034,9/5/17,1008
0.061704743,9/6/17,1009
0.058633839,9/7/17,1010
0.065200702,9/8/17,1011
0.051157476,9/11/17,1012
0.048457302,9/12/17,1013
0.047174425,9/13/17,1014
0.058980186,9/14/17,1015
0.065125175,9/15/17,1016
0.067698756,9/18/17,1017
0.06902257,9/19/17,1018
0.063484451,9/20/17,1019
0.074488925,9/21/17,1020
0.073930309,9/22/17,1021
0.111735015,9/25/17,1022
0.110207561,9/26/17,1023
0.109539463,9/27/17,1024
0.094912623,9/28/17,1025
0.090454193,9/29/17,1026
0.09362785,10/2/17,1027
0.103702262,10/3/17,1028
0.102605002,10/4/17,1029
0.101910766,10/5/17,1030
0.104002611,10/6/17,1031
0.083201517,10/9/17,1032
0.079515887,10/10/17,1033
0.085465779,10/11/17,1034
0.081350232,10/12/17,1035
0.08461488,10/13/17,1036
0.08505554,10/16/17,1037
0.084659999,10/17/17,1038
0.080505928,10/18/17,1039
0.078722362,10/19/17,1040
0.081120308,10/20/17,1041
0.082343197,10/23/17,1042
0.077943809,10/24/17,1043
0.065737479,10/25/17,1044
0.080440659,10/26/17,1045
0.067570145,10/27/17,1046
0.058651101,10/30/17,1047
0.058963457,10/31/17,1048
0.060054977,11/1/17,1049
0.067427749,11/2/17,1050
0.070865666,11/3/17,1051
0.059820156,11/6/17,1052
0.061119387,11/7/17,1053
0.060631954,11/8/17,1054
0.072386353,11/9/17,1055
0.076158279,11/10/17,1056
0.090176326,11/13/17,1057
0.091667906,11/14/17,1058
0.062395161,11/15/17,1059
0.079453203,11/16/17,1060
0.086633821,11/17/17,1061
0.102945654,11/20/17,1062
0.09198182,11/21/17,1063
0.091589785,11/22/17,1064
0.101399166,11/24/17,1065
0.103543826,11/27/17,1066
0.101646705,11/28/17,1067
0.104575459,11/29/17,1068
0.119244886,11/30/17,1069
0.111005905,12/1/17,1070
0.110307716,12/4/17,1071
0.112233236,12/5/17,1072
0.10167704,12/6/17,1073
0.121690586,12/7/17,1074
0.09891222,12/8/17,1075
0.100554525,12/11/17,1076
0.100309684,12/12/17,1077
0.101456597,12/13/17,1078
